id,mfu,name,meridian,cc,patient,therapist,notes,page,order
acu_an_cp1,AN-CP1,AN-CP1,,眼窝下缘，眼轮匝肌下方纤维上，瞳孔正下方,仰卧,位于患者头侧，一手固定头部，一手治疗A) 指关节B) 指尖,扶股贷,2,1
acu_an_cp2,AN-CP2,AN-CP2,,眼窝下缘下方，小颧骨肌上，朝向颧骨下缘,仰卧,位于患者头侧，一手固定头部，一手治疗A) 指关节B) 指腹,,3,1
acu_an_cp3,AN-CP3,AN-CP3,,下颌，二腹肌前1/3上，下颌舌骨肌上,仰卧,位于患者头侧，一手固定头部，一手治疗A) 指关节B) 指腹,,4,1
acu_an_cl,AN-CL,AN-CL,,胸锁乳突肌前侧缘，平 甲状软骨水平,仰卧,位于患者头侧，一手固定头部，一手治疗 A) 指关节 B) 指腹,往对侧 → 连线中点,5,1
acu_an_th,AN-TH,AN-TH,,剑突旁开两厘米，在腹直肌和胸大肌结合处，肋骨面上整个区域去寻找,仰卧,位于治疗点同侧，使用指关节,,6,1
acu_an_lu,AN-LU,AN-LU,,肚脐水平，腹直肌上,仰卧,位于治疗点同侧，使用肘关节,,7,1
acu_an_pv,AN-PV,AN-PV,,髂前上棘内下侧，髂窝里，髂肌上；找到髂前上棘，用肘尖垂直于腹股沟韧带方向贴着髂窝压着髂肌寻找,仰卧，治疗侧腿微曲,另一只手稳定患者膝盖，A)位于治疗点同侧，使用肘关节B)位于治疗点对侧，使用肘关节,,8,1
acu_an_cx,AN-CX,AN-CX,,大腿近端1/3段前侧，缝匠肌内侧，腰大肌筋膜上,仰卧,A)位于治疗点同侧，使用肘关节B)位于治疗点对侧，使用肘关节,男性—把握放内施,9,1
acu_an_ge,AN-GE,AN-GE,,大腿中段1/3内，股直肌外侧缘,仰卧,位于治疗点同侧，使用肘关节,腿内施,10,1
acu_an_ta,AN-TA,AN-TA,,胫骨前肌肌腹上，小腿 中段1/3内,仰卧,位于治疗点同侧，使用 肘关节,,11,1
acu_an_pe,AN-PE,AN-PE,,第一、二趾骨之间，拇短伸肌筋膜上,仰卧,位于治疗点同侧，使用指关节,triangle 屈膝,12,1
